Track 0: 
Track 1: Piano
Time: 00:03:17.625, Note: 65, Velocity: 90
Time: 00:03:17.875, Note: 66, Velocity: 90
Time: 00:03:18.125, Note: 68, Velocity: 90
Time: 00:03:18.375, Note: 61, Velocity: 90
Time: 00:03:19.125, Note: 65, Velocity: 90
Time: 00:03:19.250, Note: 61, Velocity: 90
Time: 00:03:19.375, Note: 61, Velocity: 90
Time: 00:03:19.375, Note: 65, Velocity: 90
Time: 00:03:19.875, Note: 65, Velocity: 90
Time: 00:03:19.875, Note: 61, Velocity: 90
Time: 00:03:20.125, Note: 65, Velocity: 90
Time: 00:03:20.125, Note: 61, Velocity: 90
Time: 00:03:20.375, Note: 63, Velocity: 90
Time: 00:03:20.375, Note: 66, Velocity: 90
Time: 00:03:21.125, Note: 63, Velocity: 90
Time: 00:03:21.375, Note: 70, Velocity: 90
Time: 00:03:21.750, Note: 63, Velocity: 90
Time: 00:03:22.125, Note: 66, Velocity: 90
Time: 00:03:22.125, Note: 63, Velocity: 90
Time: 00:03:22.125, Note: 71, Velocity: 90
Time: 00:03:22.375, Note: 70, Velocity: 90
Time: 00:03:22.500, Note: 63, Velocity: 90
Time: 00:03:22.500, Note: 66, Velocity: 90
Time: 00:03:23.250, Note: 68, Velocity: 90
Time: 00:03:23.500, Note: 66, Velocity: 90
Time: 00:03:23.500, Note: 63, Velocity: 90
Time: 00:03:23.500, Note: 70, Velocity: 90
Time: 00:03:24.250, Note: 68, Velocity: 90
Time: 00:03:24.500, Note: 78, Velocity: 90
Time: 00:03:24.500, Note: 70, Velocity: 90
Time: 00:03:24.500, Note: 66, Velocity: 90
Time: 00:03:24.500, Note: 63, Velocity: 90
Time: 00:03:25.250, Note: 68, Velocity: 90
Time: 00:03:25.500, Note: 70, Velocity: 90
Time: 00:03:25.500, Note: 66, Velocity: 90
Time: 00:03:25.500, Note: 63, Velocity: 90
Time: 00:03:27.250, Note: 61, Velocity: 90
Time: 00:03:27.250, Note: 65, Velocity: 90
Time: 00:03:27.500, Note: 61, Velocity: 90
Time: 00:03:27.500, Note: 65, Velocity: 90
Time: 00:03:28.000, Note: 61, Velocity: 90
Time: 00:03:28.000, Note: 65, Velocity: 90
Time: 00:03:28.500, Note: 66, Velocity: 90
Time: 00:03:28.500, Note: 63, Velocity: 90
Time: 00:03:29.000, Note: 63, Velocity: 90
Time: 00:03:29.250, Note: 63, Velocity: 90
Time: 00:03:29.750, Note: 63, Velocity: 90
Time: 00:03:30.250, Note: 66, Velocity: 90
Time: 00:03:30.250, Note: 63, Velocity: 90
Time: 00:03:30.750, Note: 63, Velocity: 90
Time: 00:03:35.125, Note: 61, Velocity: 90
Time: 00:03:35.125, Note: 65, Velocity: 90
Time: 00:03:35.375, Note: 61, Velocity: 90
Time: 00:03:35.375, Note: 65, Velocity: 90
Time: 00:03:35.625, Note: 65, Velocity: 90
Time: 00:03:35.625, Note: 61, Velocity: 90
Time: 00:03:35.875, Note: 65, Velocity: 90
Time: 00:03:35.875, Note: 61, Velocity: 90
Time: 00:03:36.375, Note: 63, Velocity: 90
Time: 00:03:36.375, Note: 66, Velocity: 90
Time: 00:03:36.625, Note: 63, Velocity: 90
Time: 00:03:37.375, Note: 70, Velocity: 90
Time: 00:03:37.875, Note: 71, Velocity: 90
Time: 00:03:37.875, Note: 66, Velocity: 90
Time: 00:03:38.375, Note: 66, Velocity: 90
Time: 00:03:38.375, Note: 70, Velocity: 90
Time: 00:03:38.375, Note: 63, Velocity: 90
Time: 00:03:40.750, Note: 63, Velocity: 90
Time: 00:03:41.375, Note: 75, Velocity: 90
Time: 00:03:43.375, Note: 70, Velocity: 90
Time: 00:03:43.625, Note: 68, Velocity: 90
Time: 00:03:43.875, Note: 63, Velocity: 90
Time: 00:03:45.375, Note: 61, Velocity: 90
Time: 00:03:45.875, Note: 66, Velocity: 90
